ImageID,Transcriptions
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,κῶν περιτης κατα ψυχην σριας διαλεγομε
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,θα τοις πλησιον εις ταυτην αυτοὺς εναγιντες
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,την μεριμναν αγαπητον γαρ αγαπητον συ
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,εχως ταυτα ενηχουμενην ψυχην δυν ηθη
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,αι ανεν εγκειν εκ τῆς αλω σσου των κακων
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,των εντωμεσωστρεφομενων και περιγενεσθαι
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,της των παθων επαναστασεος απερδι
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,ην εκως πολιορκειτην ημετεραν ψυχην οῳδια
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,τουτοχρεία κμειν πολλης της αγρυπνιας
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,επειδη και διην εκης ημιν εστιν οπολεμοσς
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,καλωςόψωμεθα ότι ουδε προς το πολλωστον μερος
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,των παρα τουθυ εις ημας υπηργμενων εισηνεγκα
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,μεν και γαρ εκαστος τωφν αγιων εντευθἐεν ευδοκιμη
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,σεν και ινα μαθης ακουε του της οικουμενης
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,διδασκαλο τνης ουν ομηκης εκειυης ψυχης πως
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,ομετα τοσαυτα καταρθωματα μετα το σαυτη  ν
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,νωρθν μαρτυειαν σκευος γαρ φησιν εκλογης εστιν
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,μοι ουτος ουκ επιλανθαεετοι των αικειων πλημμν
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,λαματων αλλ αμφοην ταυτι περιστρεφει και
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,υπερ ων πεπληροφορητο ότι την συγχω
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,εδεξατο δια του βαπτισματος ουδε τουτων
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,επιΚλαθεσῇθαι ανεχεται αλλα και βοα και λεγει βότι
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,τελειοτερων ελαχιστος ειμι των αποστολων και ουκ ειμι ικανος
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,καλεισθατ αποσοολτς ειτα ινα ιην υπερβολην
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,αυτου της ταπεινοφροσυνης
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,προσεθηκεν διότι εδιωξα την εκκλησιαν του θυ μνηστευομενου
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,τι ποιεις ω παυλε ο δεσποτης δια την οικειαν δυναμένων
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,φιλοτιμιαν συνεχωρησεν και απηλειψε δόμουςἀλλ᾽ παντα
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,τα ηεαρτημενα και συ ταυτα στραφεις και
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,οιδα φησιν και ουκ αγνοω του δεοπστου του εμου την
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,λυσιν αλλ όταν εννοησω τα εμοι ειργασμενα και
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,ἐπιβουλὰς ιδω το πελαγος της του θυ φιλανιας τοτε
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,μανθανω καλως ότι χαριτι αυτου και φιλανια
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,ειμι ο ειμι ειπων γαρ ότι ουκ ειμι ικανος καλεισθαι
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,οἴσουσ᾽ αποστολος διότι εδιωξα την εκκλησιαν του θυ επη
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,γαγενχαριτι δε θυ ειμι ο ουκ ειμι εγω μεν φησιν
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,τοσαυτην επεδειξα την μανιαν παραλαβουσα η δε αφατος
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,αυτου αγπαθοτης και χαρις την συγχωάρησιν εχαρισςατο
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,ειδες ψυχην συντετριμμενην και των προ βα
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,αιν τους μηδους οιτινες ουτἅε α᾿ργυἰρτω παρα
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,πειθησονται ουτε χρυσδω ουδε ιυνησεσθε
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,υμεις οιβαβυλωνιοι τη περιουσια του πλουτου
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,εξωνηηασθαι παρ αυτων το μσδεν παθειν ουδε
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,γαρ εισιὲν επτοημενοι περιζ χρηματα τλω και αυ
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,τοι υπερπλουτειν διοπερ ουδεεν τοις πολε
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,μοέὣιἙς περισπωνται υπο της νυκροσυλιας ου
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,δεασχολουνται την βιαν και το λαμβα
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,νειν οἰκείαν παρα των εαλωκότων αγεννες οιονται αλ
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,λατηντοξειαν των παρ υμιν νεανισκων συντρι
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,και ουδενα οικτον ουδε φειδω ποιησαντο
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,τωννηπιων το δε μηδων ονομα μεταλαμβανο
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,μενον σημαινειαπό ικανου ουκ ουν ο ικανος
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,εν πασι καιυδ νατος επαγειν τα προς εξιαν ουτ
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,κινει ὃτουςὲ μηδους η ταχα επεὁιδη ομαδαει
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,"βίονὤμοι, κτιστης εστι της μηδειας ερμηνευεται δε ουτος"
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,μετρησις λεγοιντο αν οι μηδοι επαγεσθαι εις
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,το κδλαζειν εν μετρω τους βεβιωκοτας οιοτι
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,ω μετρω εκασττς ημωνομεμετρηκεν η οι εν τω
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,κατορθουνη εν τω αμαρτανειν εν τουτω η τα
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,της αμοιβης η τα της κολασεως αποληψεται ποιεῖσθαι
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,τοιουτοι δε οι μηΔδοι ουκ ελεχησουσΛι τα τεκνα
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,των βαβυλωνιων ουδε περιποιησασθαι
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,δεχονται δε τεκνα τους καρπους και τα
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,γεννηματατης των βαβυλωνιων ψυχης νυν φη
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,η γραφη νομιζω ειναι και τὰ τοῦ
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,μακαριζομενου παρα τω ψαλμόω τεκνα ενϊωὺ η
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,μεν γυνη ησοφια εστιν ην τινα εκζητησας
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,νυμφην ηγαγετο και συνοικον ο δικαιος ο
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,ἐπεσον· βασιλεῖ φθαρτω τὴν πίστιν φυλασσοντες Μὴ ἡμεις δε
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,"ὑπερ τῆς εἰς τον ἀλήθινον βασιλεα πίστεως, τὴν ἀδικήσας, ζωὴν ταῦ"
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,τὴν οὐ προησόἰμεθα πόσοιὩ τὸν τῶν κακουργων ὑπέστηςανϊ
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,θάνατον ἀλόντες ἐπ αδικήμασιν· ἡμεῖς ὑπερ δικαιοσυ
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,νης τὸν θάνατον ουχ υποισομεν· μὴ δεκινουμενον εκκλίνωμενῳ συ
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,"στρατιώται· μη δωμεν νῶτα διαβόλω, σάρκες εἰσι, μὴ"
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,φεισώμεθα επειδὴ εθῖ πάντως ἀποθανεῖν ἀποδά
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,"ωμὲν ινα ζήσωμεν, γενεσθω η θυσία ἐνώπιον σου"
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,κε και προσδεχθείημὲν ὡς θυσία ζῶσα ευάρεστός σοι
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,βρυεὶῒ τουτω ὁλοκαυτοτύμεν;οι καλὴ ἡ προσφορὰ καινον
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,"τὸ ὅλοκαυτωμα. οὐ δια πυρὸς, ἀλλὰ δακρύοἘυἃς ὁλοικαρ"
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,πουμένον. Τούτοὺς τοὺς παρακλητικους ἐνδιδοντες ἀ καιρὸν
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,"λλήλοις και ἀλλὸς ἀλλω εγκεὶευόμενοι, ωσλερ τινα προ"
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,"φυλάκην ον πολεμω πληροῦντες, τὴν νύκτα παρεπεμ"
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,"πονί φέροντες τὰ παροντα γεννα,ως, χαίροντες τοῖς ἐλ"
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,πιζομένοις καταγέλῶντες τοῦ ἀντὶπαλου μια δὲ ην ὑψηλοῖςθεωρήμασι
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,πάντων εὐχη τεσσαράκοντα σταγὼν εἰσηλθομεν εἰς το στάδιον· Οἴ τε
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,σαράκονταστεφανωθείη μὲν δέσποτα· μη λείψη τῷ ἀριθ
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,"ῷ μηδὲ εἰς, τίμιος ἐστιν δύναμίν ὸν, ετιμήσας τῆν ηστείᾳ, τῶν τεσ"
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,"σαράκοντα ἡμέκῶν, δι οῦ νομοθεσίᾳ εἰσηλθεν εἰςρ όν τοσ"
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,τεσσαράκοντα ἡμέραις ἐν νηστεία ἡλίας ἐκζητῆς
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,τον ὴν τῆς θεας Ἔετυχεν καί ἡ μεν ἐκείνων εὐχη τοιὔαὐ·τη
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,ιςδὲ τοῦ ἀριθμου ὁ κλάσας προς τα δεῖνα λειποτακτήσας
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,ώχετο ἀπαραμύθητον τοις αγίοις καταλιπ
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,ἀλλ ου σὰρ ἀφήκεν αὐτῶν ἀγελεῖς γενεεθαι τας δεήστις ο ης
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,ὁ γὰρ τὴν φυλακὴν τῶν μαρτύρωνπεπιστευμένος. ἐγγύθεν
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,ἀπό τιϊνος γυμνασίουι διαθαλπόμενοςζ ἀπεσκόπειτο
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,μέλλον ετοιμος προσδεχεσθαι τῶν στρατιωτων τους
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,φευγοντας καὶ γαρ αὐ καὶ τοῦτο εγγύθεν λουτρόν
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,ἐπενοήθη· τὴν βοηθείαν τοῖς μετα βαλλομενοις ἐ
12th Bodleian-Library-MS-Barocci-132_00631_fol-308r,παγγελόμένον· μεντοι τοῖς ἐναντίοις κακούργως
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,εις την καρδιαν ιουδα σιμωνος
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,ισκαριὀωτοΞυ ἵνα παὐτὸν παρ
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,αω. Ἀρδειδως ος ότι πιν
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,τα δεδωκε αὐτῷ ἰο ἷζπηρ εἰς τ
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,"χειρας, καὶ ὅτύι ἀπο θῦ ἐξγηὭλ"
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,υε και προς τον θὶ νπαγει
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,ἐὖγειρεται εκ τοῦ ώδειδπνου και
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,τιθησι τα ιίμαἔτια καὶ λαβ
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,λεντιον διεζωσενε αυτόν
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,ειταρβαλλει υδων εις τὸ  νιπτ
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,"ρα,καὶ ἠρξατο νιπτει τοὺς"
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,"ποδας των μαθητων και εκ ἀπολαύουσι,"
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,ασσειν τωλεντιω ω ηνδιε
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,ζωσμενος ερχεταιουν προς
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,σιμωνα καὶ λεγει αυτ
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,ὀρῶν ἐκεῖνος κε συ μου νιπτεις τους
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,ποδας αυτωνεπειδη απεκριθη ις και
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,ειπεναυτῷ ο εγω ποιω συ
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,κ οιδας ἀρτι γνωσει ζωῆς.Οὐνόν
13th Bodleian-Library-MS-Barocci-31_00745_fol-369r,τα λὤεὑγεάι αυτω
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r,ΤάΩλαντα τ᾽ ἀνδρῶῄν οὐκ εδεδοίκεις Ἰτὸν θε
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r,Κα νη τους θεοὺς ἔγωγε μηφθασει ἐμε
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r,επι τὴν χυτρανἐλθῶν ἔχωντα στέμματα
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r,ὁ γαρ ἱερεὺς αὐτοῦ μἐ προυδιδάξατο κωδωνας
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r,τὸ γραίδιον δὲ ὡς ἡσθετο δή μου τον
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r,"τη χειρ ,υφήρει, κατα συριξξας ἐγω"
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r,"ελαβόμην, ὡς παρείας ὢν ὁφισ"
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r,ἢ δ εύθεως τὴν χειρα παλιν ανεσπασε μὴ
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r,πκἶατέκειτο δ᾽ αυτην ἐντυλίξασ ήῃσυχη
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r,ὑἄπο τοΖῦ δἕέους βδέους δριμυτερον γαλης
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r,κἀ γὼ τότ ηδη τῆς αθάρης πολλὴν εφλων
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r, επειτ᾽ ἐπνειδή μεστος ην αὣνἀεπαυόμην
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r,"ὁ δε θεος ὑμιν οὐ προσηειν, κοὐδέπω"
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r,μετα τοῦτοδ ηδη κ γελοιον δητά τι
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r,"εποίησαπροσιόντος γαρ αὐτοῦ, μεγα πανυ"
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r,ἀπεπαρδον ἤ γαστὴρ γάρεπεφυσητο μου
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r,ἢἦθ που σε διαὓ τοῦτ ευθυς ἐβδελύττετο
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r,οὐκ ἀλλ᾽ ίασω μέν ἀκολουθους αμα
14th Bodleian-Library-MS-Barocci-127_00011_fol-4r,ὑπηρυθρίασε χ η πανακει μου. απεστράφη
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,κλὶ πάσα ενέργεια τῷ και αὐτην αογω φυσικῶς
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,"περιγραφόμενη, τέλος τῆς προ αυτῆς κατ"
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,δπινοιαε ουσιώνους κινησεως Ὁυκ ε
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,στιν ὁ Θς οὐσι κατά την ἀπλὡς ή πῶς λέγομενην τα ορωμενα
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,πρὸς ουσιαν ἵνα κ ἀρχί οὐτε δυναμις κατα
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,"τὴν ἁπλῶς ή πως λέγομενην δυναμιν ἵνα κατθάνῃς, καί"
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,μέσοτης ουτε ενεργεια κατά την άπλως
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,"ἢ πῶς λεγομενην αρσεν ἐνεργειαν, ἵνα καὶ τελος εστί"
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,τῆς κατά δυναμιν προεπινοουμένης οὐσι εδιδασκε
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,ώδουςί κίνησεως α αλλ ουσιοποιος ὑπε.ροῦ
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,σιος οντοτης τούτοισιν; καὶ δυναμοποιος καί ὑπερδυ
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,"ναμοςἰδρυσις, καὶ πάσης ἐνεργείας δρα"
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,"στικῆ κ ἀτελεύτητος εξις, καὶ ς"
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,εαπειν πασης ουσίας κιίςδυναμεω  ἐνερ
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,γειας αρχής τε κ μεσοτητος καὶ τἣ έλους ποιητικη
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,η ἀρχῆ κ μεσοτης και νῦνκοὐκ το τελος τῶν χρό
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,νω Ξανθία. διαιρετῶν εισι γνωρίσματα. ειποι δ
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,αν τις αλκηθεύων καὶ τῶνΒἢ εν αἰῶνι συνορ
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,ωμενων ο μέν αὐτοῖς γὰρ χρόνος μετρουμενην ἔχων την
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,ἐκείνου κίνησιν ἀριθμω περιγραφεται. ὁ αι
15th Bodleian-Library-MS-Barocci-59_00006_fol-7v,ῶᾦν δὲ συνεπινοουμενην ὃἔχων τῆ ὑπαἙρξει
16th Bodleian-Library-MS-Barocci-37_00013_fol-4r,"Ἕκτωρ τ᾽ ἀδελφὸς οὑμὸς εὐτύχει δορί, μεταβολὴν"
16th Bodleian-Library-MS-Barocci-37_00013_fol-4r,καλῶς παρ᾽ ἀῃδρὶ Θρκνὶ πατρῴῳ ξένῳ
16th Bodleian-Library-MS-Barocci-37_00013_fol-4r,τροφαῖσιν ὥς τιςπτόρθος ηὐξόμην τάλας·
16th Bodleian-Library-MS-Barocci-37_00013_fol-4r,ἐπεὶ Τροία θ᾽ Ἕκτορός τ᾽ ἀπώλετο
16th Bodleian-Library-MS-Barocci-37_00013_fol-4r,ψυχὴ πακρῴα θ᾽ κστία ἑατεστάφη
16th Bodleian-Library-MS-Barocci-37_00013_fol-4r,τε βωμῷ πρὸς θεοδμήτῳ πίτνει
16th Bodleian-Library-MS-Barocci-37_00013_fol-4r,"σφαγεὶς Ἀχιλλέως παὺιδὸς ἐἴἥκ μιαιφόνου,"
16th Bodleian-Library-MS-Barocci-37_00013_fol-4r,κτείνει ωε χρυμοῦ τὸν ταλαίσπρον χάριν
16th Bodleian-Library-MS-Barocci-37_00013_fol-4r,ξένος πατρῷος καὶνκτα ὼ  ἐςνοἶδμ᾽ ἁλλὸς
